wordle_dict,V1,V2,V3,V4,V5,p 7,s 7,p 8,s 8,p 9,s 9,p 10,s 10,p 11,s 11,sumf,sum_uniqs,unique,score,rank,UxSUxSF,rank2
cigar,c,i,g,a,r,7.107616404563675,3.1267345050878816,10.661424606845515,5.795559666975024,2.80604378661733,2.534690101757632,8.279370952821461,9.23527597903176,5.188097440641382,6.410730804810361,34.04255319148936,27.102991057662656,5,170.2127659574468,7509.5,4613.275073644707,7292
rebut,r,e,b,u,t,4.841196423065063,6.410730804810361,12.550107924761022,10.271353684859697,2.582485353068147,2.5084798026518653,3.0912735121800803,3.8714153561517115,5.604378661732963,5.080172679617638,28.669441874807276,28.14215232809127,5,143.34720937403637,9801.5,4034.099002010925,8404
sissy,s,i,s,s,y,12.064446500154178,10.275979031760716,10.661424606845515,5.795559666975024,4.108849830403947,10.275979031760716,3.9777983348751156,10.275979031760716,10.029293863706444,3.1976564909034844,40.8418131359852,19.269195189639223,3,122.52543940795559,11241,2360.9666076482104,11711
humph,h,u,m,p,h,3.769657724329325,2.713536848596978,9.150477952513105,3.8714153561517115,3.939253777366636,3.046561825470244,3.2223250077089114,3.112858464384829,2.8522972556275055,2.713536848596978,22.934011717545484,12.744372494603763,4,91.73604687018194,12511,1169.1183524960284,12858
awake,a,w,a,k,e,5.6814677767499235,9.23527597903176,1.2565525747764417,1.6019118100524206,9.528214616096207,9.23527597903176,3.8775824853530683,2.320382362010484,11.732963305581253,10.271353684859697,32.07678075855689,23.42892383595436,4,128.30712303422757,10886,3006.097813179343,10544
blush,b,l,u,s,h,7.007400555041627,2.5084798026518653,5.388529139685477,5.197348134443416,5.141843971631205,3.8714153561517115,3.9777983348751156,10.275979031760716,2.8522972556275055,2.713536848596978,24.36786925686093,24.566759173604687,5,121.83934628430465,11279.5,2993.1978780359395,10571
focal,f,o,c,a,l,4.609929078014184,1.719087264878199,16.15787850755473,6.842429848905334,3.0218933086648163,3.1267345050878816,8.279370952821461,9.23527597903176,3.669441874807277,5.197348134443416,35.73851372186247,26.12087573234659,5,178.69256860931233,6869.5,4667.606378937664,7198
evade,e,v,a,d,e,2.335800185013876,10.271353684859697,0.40086339808818994,1.0699969164353993,9.528214616096207,9.23527597903176,3.630897317298797,3.781991982732038,11.732963305581253,10.271353684859697,27.628738822078322,24.358618563058894,4,110.51495528831329,11855,2691.9916413815317,11115
naval,n,a,v,a,l,2.505396238051187,4.551341350601295,17.44526672833796,9.23527597903176,1.8501387604070305,1.0699969164353993,8.279370952821461,9.23527597903176,3.669441874807277,5.197348134443416,33.749614554424916,20.05396238051187,4,134.99845821769966,10436,2707.2540025248527,11090
serve,s,e,r,v,e,12.064446500154178,10.275979031760716,12.550107924761022,10.271353684859697,9.23527597903176,6.410730804810361,1.2025901942645698,1.0699969164353993,11.732963305581253,10.271353684859697,46.785383903792784,28.028060437866174,4,187.14153561517114,6276,5245.214270657101,6104
