"","X1","X2","X3","X4"
"1","about",1,"[0.06-1)",1
"2","other",0.797631201396727,"[0.06-1)",1
"3","which",0.660708907583671,"[0.06-1)",1
"4","their",0.638157422204859,"[0.06-1)",1
"5","there",0.571574768100135,"[0.06-1)",1
"6","first",0.471301472179129,"[0.06-1)",1
"7","would",0.466803841908007,"[0.06-1)",1
"8","these",0.441011645029754,"[0.06-1)",1
"9","click",0.437541000228863,"[0.06-1)",1
"10","price",0.408932354973781,"[0.06-1)",1
"11","state",0.369358092939343,"[0.06-1)",1
"12","email",0.361895605590639,"[0.06-1)",1
"13","world",0.352100982680348,"[0.06-1)",1
"14","music",0.33750498068446,"[0.06-1)",1
"15","after",0.304017082901344,"[0.06-1)",1
"16","video",0.29787224876197,"[0.06-1)",1
"17","where",0.293843928053626,"[0.06-1)",1
"18","books",0.283443829142534,"[0.06-1)",1
"19","links",0.277098816318295,"[0.06-1)",1
"20","years",0.275398992240866,"[0.06-1)",1
"21","order",0.274412533893676,"[0.06-1)",1
"22","items",0.269418898786116,"[0.06-1)",1
"23","group",0.262357595392199,"[0.06-1)",1
"24","under",0.255390671056363,"[0.06-1)",1
"25","games",0.249386496586612,"[0.06-1)",1
"26","could",0.246436007742008,"[0.06-1)",1
"27","great",0.245764304670299,"[0.06-1)",1
"28","hotel",0.242900896643115,"[0.06-1)",1
"29","store",0.237467053636076,"[0.06-1)",1
"30","terms",0.226378260194737,"[0.06-1)",1
"31","right",0.223047829979207,"[0.06-1)",1
"32","local",0.220702233471793,"[0.06-1)",1
"33","those",0.220108140541757,"[0.06-1)",1
"34","using",0.219647355239291,"[0.06-1)",1
"35","phone",0.209209014134071,"[0.06-1)",1
"36","forum",0.207443650991444,"[0.06-1)",1
"37","based",0.205753816854736,"[0.06-1)",1
"38","black",0.199464719982663,"[0.06-1)",1
"39","check",0.199302447640797,"[0.06-1)",1
"40","index",0.197945312359752,"[0.06-1)",1
"41","being",0.197910133584411,"[0.06-1)",1
"42","women",0.197696039902557,"[0.06-1)",1
"43","today",0.195047339382226,"[0.06-1)",1
"44","south",0.194484812382384,"[0.06-1)",1
"45","pages",0.190751306196365,"[0.06-1)",1
"46","found",0.189124857438736,"[0.06-1)",1
"47","house",0.188557926061112,"[0.06-1)",1
"48","photo",0.185146289162216,"[0.06-1)",1
"49","power",0.184715159840445,"[0.06-1)",1
"50","while",0.184387968291147,"[0.06-1)",1
"51","three",0.182123747207836,"[0.06-1)",1
"52","total",0.181497747605441,"[0.06-1)",1
"53","place",0.180128890141813,"[0.06-1)",1
"54","think",0.17759069931579,"[0.06-1)",1
"55","north",0.177552356040255,"[0.06-1)",1
"56","posts",0.176747466801699,"[0.06-1)",1
"57","media",0.176429860867491,"[0.06-1)",1
"58","water",0.175407616441343,"[0.06-1)",1
"59","since",0.174693882253069,"[0.06-1)",1
"60","guide",0.173940565726846,"[0.06-1)",1
"61","board",0.173110925401378,"[0.06-1)",1
"62","white",0.171075170308762,"[0.06-1)",1
"63","small",0.169859054188476,"[0.06-1)",1
